id_LFM,IndexNbr,kanji,kana,name,lat,lon,no,subpref_kanji,prec_no,groupCode,has_rj,skip
953208,47588,山形,ﾔﾏｶﾞﾀ,Yamagata,38.255,140.345,35426,山形,35,24,1,F
953230,47590,仙台,ｾﾝﾀﾞｲ,Sendai,38.2617,140.8967,34392,宮城,34,23,1,F
962854,47592,石巻,ｲｼﾉﾏｷ,Ishinomaki,38.4267,141.2983,34292,宮城,34,23,0,F
923188,47595,福島,ﾌｸｼﾏ,Fukushima,37.7583,140.47,36126,福島,36,25,1,F
885947,47597,白河,ｼﾗｶﾜ,Shirakawa,37.1317,140.215,36667,福島,36,25,0,F
873964,47598,小名浜,ｵﾅﾊﾏ,Onahama,36.9467,140.9033,36846,福島,36,25,0,F
901427,47600,輪島,ﾜｼﾞﾏ,Wajima,37.39,136.895,56052,石川,56,41,0,F
938712,47602,相川,ｱｲｶﾜ,Aikawa,38.0283,138.24,54157,新潟,54,39,0,T
931537,47604,新潟,ﾆｲｶﾞﾀ,Niigata,37.8933,139.0183,54232,新潟,54,39,1,F
852175,47605,金沢,ｶﾅｻﾞﾜ,Kanazawa,36.5883,136.6333,56227,石川,56,41,0,F
865403,47606,伏木,ﾌｼｷ,Fushiki,36.7917,137.055,55091,富山,55,40,0,F
859404,47607,富山,ﾄﾔﾏ,Toyama,36.7083,137.2017,55102,富山,55,40,1,F
857042,47610,長野,ﾅｶﾞﾉ,Nagano,36.6617,138.1917,48156,長野,48,33,1,F
883466,47612,高田,ﾀｶﾀﾞ,Takada,37.1067,138.2467,54651,新潟,54,39,0,F
849903,47615,宇都宮,ｳﾂﾉﾐﾔ,Utsunomiya,36.5483,139.8683,41277,栃木,41,27,1,F
820933,47616,福井,ﾌｸｲ,Fukui,36.055,136.2217,57066,福井,57,42,1,F
826979,47617,高山,ﾀｶﾔﾏ,Takayama,36.155,137.2533,52146,岐阜,52,37,0,F
831812,47618,松本,ﾏﾂﾓﾄ,Matsumoto,36.2467,137.97,48361,長野,48,33,0,F
819807,47620,諏訪,ｽﾜ,Suwa,36.045,138.1083,48491,長野,48,33,0,F
837840,47622,軽井沢,ｶﾙｲｻﾞﾜ,Karuizawa,36.3417,138.5467,48331,長野,48,33,0,F
841463,47624,前橋,ﾏｴﾊﾞｼ,Maebashi,36.405,139.06,42251,群馬,42,28,1,F
827064,47626,熊谷,ｸﾏｶﾞﾔ,Kumagaya,36.15,139.38,43056,埼玉,43,29,0,F
840319,47629,水戸,ﾐﾄ,Mito,36.38,140.4667,40201,茨城,40,26,0,F
796906,47631,敦賀,ﾂﾙｶﾞ,Tsuruga,35.6533,136.0617,57248,福井,57,42,0,F
